sample_id,source_domain,source_url,source_site_url,collected_at,text_sha256,local_snapshot
real_001,au.seek.com,https://au.seek.com/job/93190629,https://au.seek.com,2026-07-14,593c20fe7311d7046e81c0265ae805a83c62da0037d9829d4910ee73c2eef7a0,source_snapshots/real_001.txt
real_002,au.seek.com,https://au.seek.com/job/92969424,https://au.seek.com,2026-07-14,7933851208851acaf9608935e53fd73aa52819dcad1fef956904176890389d84,source_snapshots/real_002.txt
real_003,au.seek.com,https://au.seek.com/job/93067151,https://au.seek.com,2026-07-14,817f7b1497edab1b11601286c7d7a9c35baf3055aa5e183bf9212ac1c94d1a0d,source_snapshots/real_003.txt
real_004,au.seek.com,https://au.seek.com/job/93280541,https://au.seek.com,2026-07-14,190e4f5bbbc1cf06fda7b042c9f0abe2bb6dcb8db68d5323342f1713c7d46b3a,source_snapshots/real_004.txt
real_005,au.seek.com,https://au.seek.com/job/93243552,https://au.seek.com,2026-07-14,f945314b19dc4b03955881a5ba1c3a886568263aba89a74e4aac7eaf2acc5178,source_snapshots/real_005.txt
real_006,au.seek.com,https://au.seek.com/job/93076444,https://au.seek.com,2026-07-14,06fb39b1a241cc52c83a87567963e19f11907b85a474aee5a59f5a8aa3e40337,source_snapshots/real_006.txt
real_007,au.seek.com,https://au.seek.com/job/93042171,https://au.seek.com,2026-07-14,2e0293400b036c912be43a203c31c8194642c9639b2bb7cc9dfad641d0872232,source_snapshots/real_007.txt
real_008,au.seek.com,https://au.seek.com/job/93156511,https://au.seek.com,2026-07-14,6d0859e78e100453110b1ab87d5c6b82d20539eac921204fbdf1edeb4ad3f76e,source_snapshots/real_008.txt
real_009,au.seek.com,https://au.seek.com/job/93307093,https://au.seek.com,2026-07-14,3e20cf64964a16fb7b71b42959612f634e2b6bf1fbe2836390d8afa4f0578e8b,source_snapshots/real_009.txt
real_010,au.seek.com,https://au.seek.com/job/92742602,https://au.seek.com,2026-07-14,7643f92c49c26e09122ff7965f3b88219be40d52decd108295e6cce90220a020,source_snapshots/real_010.txt
real_011,jobs.lever.co,https://jobs.lever.co/objective/21d3b66a-af8d-4ec8-b98c-b60b8e0d9f01,https://jobs.lever.co/objective,2026-07-14,286d3ded9e812c5c0e8af6fd2fa58f0a5221d7fdf53a209f2ce21cb59defea47,source_snapshots/real_011.txt
real_012,jobs.lever.co,https://jobs.lever.co/objective/2bb1d8ce-c65b-4b28-98bd-bfd8e3057b5c,https://jobs.lever.co/objective,2026-07-14,6c5e6db0334941287d2112ffd5af8704691e48f5eae30de44de3c4952957334a,source_snapshots/real_012.txt
real_013,jobs.lever.co,https://jobs.lever.co/upguard/b421bc5c-52b3-4376-a9bb-389babba2976,https://jobs.lever.co/upguard,2026-07-14,49381fe1a2cd72ea400c837f656f23c903b3011dd2e5d4faf3023bb0799e7eeb,source_snapshots/real_013.txt
real_014,jobs.lever.co,https://jobs.lever.co/upguard/dd3977f1-cd57-405c-a860-207ac9bebd40,https://jobs.lever.co/upguard,2026-07-14,db7f53acbaa877eca92f352488460567ad4cb87539e8900dc4237bb68c999511,source_snapshots/real_014.txt
real_015,jobs.lever.co,https://jobs.lever.co/deputy/ed279491-acff-4d4b-89a0-7a2e91b22803,https://jobs.lever.co/deputy,2026-07-14,2c3123269a736aa79d575f6cc106feb8bbbe34b7bf4e44976e5c4d8488b327c3,source_snapshots/real_015.txt
real_016,jobs.lever.co,https://jobs.lever.co/deputy/5dcaffbc-79bd-4e4f-9494-c7d243d5ce06,https://jobs.lever.co/deputy,2026-07-14,6be8f51a26e0fdafa7c932438ef01c1afc409d1fb0cd47615d6b18a4aff4a539,source_snapshots/real_016.txt
real_017,jobs.lever.co,https://jobs.lever.co/kogan/5a5a81e6-47f8-4523-bfa1-99c21f89f098,https://jobs.lever.co/kogan,2026-07-14,b3292857a6823ad0827682d0be02f30d9e32592e2584eb5cc2b1869996922bb3,source_snapshots/real_017.txt
real_018,jobs.lever.co,https://jobs.lever.co/kogan/0bf86aba-2221-4e7b-897f-7090951ddd30,https://jobs.lever.co/kogan,2026-07-14,a4a3c368cbe6ee75ba8f0e73a5f9bf0ceaab7a7a5c80423f3b3d760741297555,source_snapshots/real_018.txt
