sample_id,title,company,original_label,predicted_label,fraud_probability,threshold,error_type,text_preview
emscad_00011,"ASP.net Developer Job opportunity at United States,New Jersey",Position : #URL_86fd830a95a64e2b30ceed829e63fd384c289e4f01e3c93608b42a84f6e662dd# Developer Job Location :United States-,0,0,4.13060188293457e-05,0.75,correct,"ASP.net Developer Job opportunity at United States,New Jersey Position : #URL_86fd830a95a64e2b30ceed829e63fd384c289e4f01e3c93608b42a84f6e662dd# Developer Job Location :United States-New Jersey-Jersey City Us work status required : EAD / Green Card / US Citizens Detailed Description #URL_86fd830a95a6"
emscad_00032,Software Applications Specialist,Day to Day-,0,0,3.594160079956055e-05,0.75,correct,"Software Applications Specialist Day to Day-   Install, upgrade and configure web-based applications:   Gathering, evaluating, and organizing client deliverables   Modifying HTML, CSS or JSP pages as necessary   Prepping technical client site environment to achieve successful implementation.   Maint"
emscad_00033,Craftsman Associate,"We are an award-winning team of professionals, providing the very best value for glass shower enclosures, designer close",0,0,2.372264862060547e-05,0.75,correct,"Craftsman Associate We are an award-winning team of professionals, providing the very best value for glass shower enclosures, designer closets, storefronts, glazing, and mirrors in Western Washington, with world class service and quality that are both Faster & Better. AAA KARTAK is family owned and "
emscad_00034,Completion Engineer,"Valor Services provides Workforce Solutions that meet the needs of companies across the Private Sector, with a special f",0,0,1.996755599975586e-05,0.75,correct,"Completion Engineer Valor Services provides Workforce Solutions that meet the needs of companies across the Private Sector, with a special focus on the Oil & Gas Industry.   Valor Services will be involved with you throughout every step of the hiring process and remain in contact with you all the wa"
emscad_00045,Customer Service Team Lead,"Novitex Enterprise Solutions, formerly Pitney Bowes Management Services, delivers innovative document and communications",0,0,1.9311904907226562e-05,0.75,correct,"Customer Service Team Lead Novitex Enterprise Solutions, formerly Pitney Bowes Management Services, delivers innovative document and communications management solutions that help companies around the world drive business process efficiencies, increase productivity, reduce costs and improve customer "
emscad_00050,Customer Service Team Lead,"Novitex Enterprise Solutions, formerly Pitney Bowes Management Services, delivers innovative document and communications",0,0,2.0325183868408203e-05,0.75,correct,"Customer Service Team Lead Novitex Enterprise Solutions, formerly Pitney Bowes Management Services, delivers innovative document and communications management solutions that help companies around the world drive business process efficiencies, increase productivity, reduce costs and improve customer "
emscad_00056,Junior HR Marketing Manager,"We are Netguru and we love to develop web application based on Ruby On Rails framework. We value quality, transparent co",0,0,2.0205974578857422e-05,0.75,correct,"Junior HR Marketing Manager We are Netguru and we love to develop web application based on Ruby On Rails framework. We value quality, transparent communication and passion for work. We are Netguru and we love to develop web applications based on Ruby On Rails framework. We value quality, transparent"
emscad_00059,Marketing Guru,"We're a Fort Worth based startup trying to change the way that companies manage, monitor, and become their HIPAA complia",0,0,2.86102294921875e-05,0.75,correct,"Marketing Guru We're a Fort Worth based startup trying to change the way that companies manage, monitor, and become their HIPAA compliance program. We're a growing team that works closely together. We move fast, and we enjoy what we do. Companies and organizations all over the country are using Acco"
emscad_00065,SENIOR FINANCE SOFTWARE RESEARCHER AND ENGINEER,"DUTIES: Conduct research for building technical, statistical, algorithmic and math models",0,0,4.9114227294921875e-05,0.75,correct,"SENIOR FINANCE SOFTWARE RESEARCHER AND ENGINEER DUTIES: Conduct research for building technical, statistical, algorithmic and math models   to perform stocks, options and futures markets analysis, and implementing those models as   software products that help to improve company clients’ stock and op"
emscad_00077,Medical Coder,"SpotSource Solutions LLC is a Global Human Capital Management Consulting firm headquartered in Miami, Florida. Founded i",0,0,2.8073787689208984e-05,0.75,correct,"Medical Coder SpotSource Solutions LLC is a Global Human Capital Management Consulting firm headquartered in Miami, Florida. Founded in January 2012, SpotSource has created a fusion of innovative service offerings to meet the increasing demand of today’s economy. We specialize in Talent Acquisition,"
